year,passengerrank,airportcode,airportname,cityname,statename,avgfare,inflationadj,passengersample
2008,410,AHN,Athens/Ben Epps,Athens,GA,487.26,568.29,0
2008,410,AKB,Atka Airport,Atka,AK,1284.33,1497.92,0
2008,410,AOO,Altoona-Blair County,Altoona,PA,421.49,491.58,0
2008,410,APF,Naples Municipal,Naples,FL,381.18,444.57,0
2008,410,BED,Laurence G Hanscom Field,Bedford,MA,169.80,198.04,0
2008,410,BFD,Bradford Regional,Bradford,PA,457.45,533.52,0
2008,410,BKW,Raleigh County Memorial,Beckley,WV,422.57,492.84,0
2008,410,BRL,Southeast Iowa Regional,Burlington,IA,462.00,538.83,0
2008,410,CIC,Chico Municipal,Chico,CA,279.97,326.52,0
2008,410,CLD,McClellan-Palomar,Carlsbad,CA,309.51,360.99,0
2008,410,DEC,Decatur Airport,Decatur,IL,445.71,519.84,0
2008,410,DRT,Del Rio International,Del Rio,TX,502.24,585.76,0
2008,410,ELY,Ely Airport/Yelland Field,Ely,NV,333.50,388.96,0
2008,410,FKL,Venango Regional,Franklin/Oil City,PA,402.70,469.66,0
2008,410,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,163.67,190.89,0
2008,410,FOD,Fort Dodge Regional,Fort Dodge,IA,468.91,546.89,0
2008,410,GBD,Great Bend Municipal,Great Bend,KS,589.89,687.99,0
2008,410,GCN,Grand Canyon National Park,Grand Canyon,AZ,615.00,717.27,0
2008,410,GUP,Gallup Municipal,Gallup,NM,597.00,696.28,0
2008,410,HON,Huron Regional,Huron,SD,601.76,701.83,0
2008,410,HOT,Memorial Field,Hot Springs,AR,280.00,326.56,0
2008,410,HRO,Boone County,Harrison,AR,300.67,350.67,0
2008,410,IGM,Kingman Airport,Kingman,AZ,438.32,511.21,0
2008,410,ILE,Skylark Field,Killeen,TX,72.00,83.97,0
2008,410,ISO,Kinston Regional Jetport at Stallings Field,Kinston,NC,107.04,124.84,0
2008,410,IWD,Gogebic-Iron County,Ironwood,MI,427.20,498.24,0
2008,410,JHW,Chautauqua County/Jamestown,Jamestown,NY,444.53,518.45,0
2008,410,JRB,Downtown Manhattan/Wall Street Heliport,New York,NY,752.00,877.06,0
2008,410,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,480.06,559.90,0
2008,410,LWB,Greenbrier Valley,Lewisburg,WV,582.75,679.66,0
2008,410,LWT,Lewistown Municipal,Lewistown,MT,643.67,750.71,0
2008,410,MBL,Manistee County-Blacker,Manistee/Ludington,MI,396.72,462.69,0
2008,410,MCN,Middle Georgia Regional,Macon,GA,522.14,608.97,0
2008,410,MCW,Mason City Municipal,Mason City,IA,473.77,552.56,0
2008,410,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,479.13,558.81,0
2008,410,MKC,Charles B. Wheeler Downtown,Kansas City,MO,120.00,139.96,0
2008,410,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,288.03,335.93,0
2008,410,OXR,Oxnard,Oxnard/Ventura,CA,613.79,715.86,0
2008,410,PFN,Bay County,Panama City,FL,650.46,758.63,0
2008,410,PIP,Pilot Point Airport,Pilot Point,AK,847.00,987.85,0
2008,410,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,545.34,636.03,0
2008,410,PMD,Palmdale USAF Plant 42,Palmdale,CA,328.50,383.13,0
2008,410,SHD,Shenandoah Valley Regional,Staunton,VA,469.64,547.74,0
2008,410,SHR,Sheridan County,Sheridan,WY,624.95,728.87,0
2008,410,SLE,McNary Field,Salem,OR,421.47,491.56,0
2008,410,TOG,Togiak Airport,Togiak,AK,1139.00,1328.41,0
2008,410,TSS,East 34th Street Heliport,New York,NY,1008.14,1175.79,0
2008,410,TUP,Tupelo Regional,Tupelo,MS,576.26,672.08,0
2008,410,VCT,Victoria Regional,Victoria,TX,545.53,636.25,0
2008,410,VIS,Visalia Municipal,Visalia,CA,498.54,581.44,0
2008,410,WRL,Worland Municipal,Worland,WY,563.45,657.15,0
2009,410,AHN,Athens/Ben Epps,Athens,GA,505.58,591.76,0
2009,410,AKB,Atka Airport,Atka,AK,1133.00,1326.13,0
2009,410,ALM,Alamogordo White Sands Regional,Alamogordo,NM,284.50,333.00,0
2009,410,AOO,Altoona-Blair County,Altoona,PA,348.53,407.94,0
2009,410,BFD,Bradford Regional,Bradford,PA,422.76,494.82,0
2009,410,BKG,Branson Airport,Branson,MO,210.16,245.98,0
2009,410,BKW,Raleigh County Memorial,Beckley,WV,408.15,477.72,0
2009,410,BRL,Southeast Iowa Regional,Burlington,IA,446.47,522.58,0
2009,410,CIC,Chico Municipal,Chico,CA,253.06,296.20,0
2009,410,CLD,McClellan-Palomar,Carlsbad,CA,291.57,341.27,0
2009,410,DEC,Decatur Airport,Decatur,IL,532.83,623.66,0
2009,410,DRT,Del Rio International,Del Rio,TX,413.35,483.81,0
2009,410,ELY,Ely Airport/Yelland Field,Ely,NV,834.00,976.16,0
2009,410,FKL,Venango Regional,Franklin/Oil City,PA,412.56,482.89,0
2009,410,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,140.51,164.47,0
2009,410,FOD,Fort Dodge Regional,Fort Dodge,IA,419.96,491.54,0
2009,410,GBD,Great Bend Municipal,Great Bend,KS,447.42,523.68,0
2009,410,HON,Huron Regional,Huron,SD,485.26,567.98,0
2009,410,IGM,Kingman Airport,Kingman,AZ,404.75,473.74,0
2009,410,IWD,Gogebic-Iron County,Ironwood,MI,495.00,579.38,0
2009,410,JHW,Chautauqua County/Jamestown,Jamestown,NY,413.84,484.38,0
2009,410,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,382.81,448.06,0
2009,410,LNS,Lancaster Airport,Lancaster,PA,406.27,475.53,0
2009,410,LWB,Greenbrier Valley,Lewisburg,WV,418.80,490.19,0
2009,410,LWT,Lewistown Municipal,Lewistown,MT,637.35,746.00,0
2009,410,MBL,Manistee County-Blacker,Manistee/Ludington,MI,380.22,445.03,0
2009,410,MCN,Middle Georgia Regional,Macon,GA,643.95,753.71,0
2009,410,MCW,Mason City Municipal,Mason City,IA,402.53,471.14,0
2009,410,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,414.11,484.69,0
2009,410,MKC,Charles B. Wheeler Downtown,Kansas City,MO,74.00,86.61,0
2009,410,MKL,McKellar-Sipes Regional,Jackson,TN,573.00,670.67,0
2009,410,MLS,Frank Wiley Field,Miles City,MT,471.86,552.29,0
2009,410,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,262.36,307.09,0
2009,410,MTH,The Florida Keys Marathon International,Marathon,FL,533.00,623.85,0
2009,410,MWH,Grant County International,Moses Lake,WA,230.39,269.67,0
2009,410,OXR,Oxnard,Oxnard/Ventura,CA,487.63,570.75,0
2009,410,PFN,Bay County,Panama City,FL,583.44,682.89,0
2009,410,PIP,Pilot Point Airport,Pilot Point,AK,798.00,934.03,0
2009,410,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,387.25,453.26,0
2009,410,RSH,Russian Mission Airport,Russian Mission,AK,1317.00,1541.49,0
2009,410,SHD,Shenandoah Valley Regional,Staunton,VA,407.83,477.35,0
2009,410,SHR,Sheridan County,Sheridan,WY,582.26,681.51,0
2009,410,STG,St. George Island Airport,St. George Island,AK,1005.00,1176.31,0
2009,410,TSS,East 34th Street Heliport,New York,NY,333.00,389.76,0
2009,410,TUP,Tupelo Regional,Tupelo,MS,472.27,552.78,0
2009,410,VCT,Victoria Regional,Victoria,TX,520.32,609.01,0
2009,410,VIS,Visalia Municipal,Visalia,CA,481.88,564.02,0
2009,410,WRL,Worland Municipal,Worland,WY,574.57,672.51,0
2010,409,AHN,Athens/Ben Epps,Athens,GA,463.17,533.37,0
2010,409,ALM,Alamogordo White Sands Regional,Alamogordo,NM,355.80,409.73,0
2010,409,AOO,Altoona-Blair County,Altoona,PA,356.46,410.49,0
2010,409,BFD,Bradford Regional,Bradford,PA,442.58,509.66,0
2010,409,BIC,Big Creek Airport,Big Creek,AK,1048.00,1206.85,0
2010,409,BKG,Branson Airport,Branson,MO,251.49,289.61,0
2010,409,BKW,Raleigh County Memorial,Beckley,WV,431.94,497.41,0
2010,409,BRL,Southeast Iowa Regional,Burlington,IA,501.00,576.94,0
2010,409,CIC,Chico Municipal,Chico,CA,307.05,353.59,0
2010,409,CLD,McClellan-Palomar,Carlsbad,CA,294.76,339.44,0
2010,409,CYF,Chefornak Airport,Chefornak,AK,393.00,452.57,0
2010,409,DRT,Del Rio International,Del Rio,TX,437.94,504.31,0
2010,409,ELY,Ely Airport/Yelland Field,Ely,NV,836.50,963.29,0
2010,409,FKL,Venango Regional,Franklin/Oil City,PA,409.24,471.27,0
2010,409,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,134.76,155.19,0
2010,409,FOD,Fort Dodge Regional,Fort Dodge,IA,418.60,482.05,0
2010,409,GBD,Great Bend Municipal,Great Bend,KS,624.43,719.08,0
2010,409,HON,Huron Regional,Huron,SD,539.48,621.25,0
2010,409,IGM,Kingman Airport,Kingman,AZ,281.60,324.28,0
2010,409,IWD,Gogebic-Iron County,Ironwood,MI,342.50,394.41,0
2010,409,JHW,Chautauqua County/Jamestown,Jamestown,NY,420.83,484.62,0
2010,409,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,454.02,522.83,0
2010,409,KSM,St. Mary's Airport,St. Mary's,AK,685.25,789.12,0
2010,409,LNS,Lancaster Airport,Lancaster,PA,386.64,445.24,0
2010,409,LUP,Kalaupapa Airport,Kalaupapa,HI,1080.00,1243.70,0
2010,409,LWB,Greenbrier Valley,Lewisburg,WV,338.79,390.15,0
2010,409,LWT,Lewistown Municipal,Lewistown,MT,491.13,565.57,0
2010,409,MBL,Manistee County-Blacker,Manistee/Ludington,MI,373.61,430.24,0
2010,409,MCN,Middle Georgia Regional,Macon,GA,850.80,979.76,0
2010,409,MCW,Mason City Municipal,Mason City,IA,409.34,471.39,0
2010,409,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,448.32,516.27,0
2010,409,MKL,McKellar-Sipes Regional,Jackson,TN,531.00,611.49,0
2010,409,MLS,Frank Wiley Field,Miles City,MT,752.80,866.90,0
2010,409,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,306.36,352.79,0
2010,409,MWH,Grant County International,Moses Lake,WA,274.65,316.28,0
2010,409,NLG,Nelson Lagoon Airport,Nelson Lagoon,AK,1461.00,1682.45,0
2010,409,OXR,Oxnard,Oxnard/Ventura,CA,535.69,616.89,0
2010,409,PFN,Bay County,Panama City,FL,579.71,667.58,0
