Location,Year,Quarter,Value,Flag Codes
AUS,2008,2008-Q1,99.8,
AUT,2008,2008-Q1,,C
BEL,2008,2008-Q1,94.82,
CAN,2008,2008-Q1,94.48,
CZE,2008,2008-Q1,92.25,
DNK,2008,2008-Q1,,C
FIN,2008,2008-Q1,,C
FRA,2008,2008-Q1,96.82,
DEU,2008,2008-Q1,96.6,
GRC,2008,2008-Q1,,C
IRL,2008,2008-Q1,,C
ITA,2008,2008-Q1,94.75,
JPN,2008,2008-Q1,93.46,
KOR,2008,2008-Q1,93.3,
NLD,2008,2008-Q1,93.89,
NZL,2008,2008-Q1,97.87,
NOR,2008,2008-Q1,,C
POL,2008,2008-Q1,93.52,
PRT,2008,2008-Q1,,C
SVK,2008,2008-Q1,,C
ESP,2008,2008-Q1,94.62,
SWE,2008,2008-Q1,95.77,
CHE,2008,2008-Q1,,C
TUR,2008,2008-Q1,,C
GBR,2008,2008-Q1,98.59,
USA,2008,2008-Q1,89.73,
EST,2008,2008-Q1,,M
LUX,2008,2008-Q1,,M
AUS,2008,2008-Q2,122.5,
AUT,2008,2008-Q2,,C
BEL,2008,2008-Q2,117.33,
CAN,2008,2008-Q2,116.89,
CZE,2008,2008-Q2,112.58,
DNK,2008,2008-Q2,,C
FIN,2008,2008-Q2,,C
FRA,2008,2008-Q2,120.27,
DEU,2008,2008-Q2,120.25,
GRC,2008,2008-Q2,,C
IRL,2008,2008-Q2,,C
ITA,2008,2008-Q2,117.89,
JPN,2008,2008-Q2,113.26,
KOR,2008,2008-Q2,114.3,
NLD,2008,2008-Q2,117.35,
NZL,2008,2008-Q2,116.22,
NOR,2008,2008-Q2,,C
POL,2008,2008-Q2,115.78,
PRT,2008,2008-Q2,,C
SVK,2008,2008-Q2,,C
ESP,2008,2008-Q2,117.72,
SWE,2008,2008-Q2,116.55,
CHE,2008,2008-Q2,,C
TUR,2008,2008-Q2,,C
GBR,2008,2008-Q2,123.03,
USA,2008,2008-Q2,114.21,
EST,2008,2008-Q2,,M
LUX,2008,2008-Q2,,M
AUS,2008,2008-Q3,133.71,
AUT,2008,2008-Q3,,C
BEL,2008,2008-Q3,113.85,
CAN,2008,2008-Q3,119.85,
CZE,2008,2008-Q3,119.28,
DNK,2008,2008-Q3,,C
FIN,2008,2008-Q3,,C
FRA,2008,2008-Q3,116.03,
DEU,2008,2008-Q3,115.67,
GRC,2008,2008-Q3,,C
IRL,2008,2008-Q3,,C
ITA,2008,2008-Q3,115.09,
JPN,2008,2008-Q3,126.94,
KOR,2008,2008-Q3,121.84,
NLD,2008,2008-Q3,113.87,
NZL,2008,2008-Q3,133.4,
NOR,2008,2008-Q3,,C
POL,2008,2008-Q3,113.33,
PRT,2008,2008-Q3,,C
SVK,2008,2008-Q3,,C
ESP,2008,2008-Q3,112.67,
SWE,2008,2008-Q3,115.23,
CHE,2008,2008-Q3,,C
TUR,2008,2008-Q3,,C
GBR,2008,2008-Q3,116.55,
USA,2008,2008-Q3,115.8,
EST,2008,2008-Q3,,M
LUX,2008,2008-Q3,,M
AUS,2008,2008-Q4,75.68,
AUT,2008,2008-Q4,,C
BEL,2008,2008-Q4,58.36,
CAN,2008,2008-Q4,70.31,
CZE,2008,2008-Q4,67.24,
DNK,2008,2008-Q4,,C
FIN,2008,2008-Q4,,C
FRA,2008,2008-Q4,58.49,
DEU,2008,2008-Q4,56.42,
GRC,2008,2008-Q4,,C
IRL,2008,2008-Q4,,C
ITA,2008,2008-Q4,57.91,
