passengers,year,quarter
178751326,2018,1
205371472,2018,2
205919222,2018,3
133190426,2018,4
171454390,2017,1
195041193,2017,2
195283602,2017,3
190561921,2017,4
167419877,2016,1
189271755,2016,2
191223225,2016,3
182735291,2016,4
159092072,2015,1
182926374,2015,2
186961322,2015,3
178543401,2015,4
154505886,2014,1
175946777,2014,2
177653259,2014,3
167994939,2014,4
153149710,2013,1
171360337,2013,2
172303392,2013,3
162945857,2013,4
153377591,2012,1
171253530,2012,2
172548469,2012,3
160124181,2012,4
149481802,2011,1
171117806,2011,2
173650767,2011,3
161651239,2011,4
146021252,2010,1
167177806,2010,2
171342440,2010,3
161405206,2010,4
145690975,2009,1
165383723,2009,2
168804028,2009,3
154496705,2009,4
163785425,2008,1
177737714,2008,2
172771175,2008,3
154916771,2008,4
